id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
96,41,25,103600,0.09,518000,58053.4,132742,244470,364299,503476,641932,811092,970955,1141920,1356390,1554180,1765710,1991920,2233840,2545250,2825640,3125490,3446150,3789040,4208410,4604240,5027510,5480100,5964060,6534240,3/4/2025 0:34
97,42,10,199100,0.09,995500,113242,258589,475411,708153,978561,1247960,1576800,1888260,2221600,2639140,,,,,,,,,,,,,,,,3/4/2025 0:34
98,42,15,144600,0.09,723000,81732.3,186702,343492,511745,707242,901899,1139600,1364530,1605190,1906820,2185460,2483570,2802520,3143770,3582430,,,,,,,,,,,3/4/2025 0:34
99,42,20,118800,0.09,594000,66815.7,152670,281042,418767,578801,738077,932631,1116600,1313390,1560150,1787890,2031490,2292060,2570770,2929330,3252490,3598150,3967870,4363310,4846700,,,,,,3/4/2025 0:34
100,42,25,103700,0.09,518500,58085.4,132753,244492,364349,503629,642197,811498,971492,1142600,1357250,1555200,1766900,1993300,2235420,2547090,2827720,3127820,3448740,3791920,4211650,4607810,5031430,5484410,5968770,6539440,3/4/2025 0:34
101,43,10,199200,0.09,996000,113194,258369,475034,707738,978191,1247660,1576610,1888160,2221590,2639260,,,,,,,,,,,,,,,,3/4/2025 0:34
102,43,15,144600,0.09,723000,81655.2,186446,343042,511180,706608,901220,1138870,1363750,1604360,1905930,2184500,2482540,2801420,3142590,3581170,,,,,,,,,,,3/4/2025 0:34
103,43,20,118800,0.09,594000,66752.3,152460,280672,418301,578278,737517,932030,1115960,1312700,1559410,1787100,2030650,2291150,2569800,2928290,3251380,3596960,3966590,4361940,4845230,,,,,,3/4/2025 0:34
104,43,25,103700,0.09,518500,58030.1,132569,244168,363942,503170,641706,810972,970928,1142000,1356600,1554510,1766160,1992510,2234560,2546180,2826740,3126780,3447620,3790720,4210370,4606430,5029960,5482830,5967080,6537630,3/4/2025 0:34
105,44,10,199300,0.09,996500,113110,258014,474564,707131,977614,1247150,1576180,1887800,2221310,2639090,,,,,,,,,,,,,,,,3/4/2025 0:34
106,44,15,144700,0.09,723500,81610.1,186224,342766,510836,706321,901014,1138770,1363750,1604460,1906170,2184850,2483030,2802040,3143360,3582140,,,,,,,,,,,3/4/2025 0:34
107,44,20,118800,0.09,594000,66667.9,152170,280246,417722,577631,736824,931288,1115160,1311850,1558500,1786120,2029600,2290030,2568600,2927010,3250000,3595480,3965010,4360250,4843420,,,,,,3/4/2025 0:34
